Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-01-31 00:00:00-05:00,6.9752040341595265,6.987886513584817,6.902281591665814,6.959351539611816,1619300,0.0,0.0
2005-02-01 00:00:00-05:00,6.949838896773847,6.965691389534931,6.8674046040017735,6.943497657775879,1052500,0.0,0.0
2005-02-02 00:00:00-05:00,6.930817590478816,7.092515598657673,6.90228261228643,7.0893449783325195,1280500,0.0,0.0
2005-02-03 00:00:00-05:00,7.092513624664917,7.197141647338867,7.051296176643584,7.197141647338867,1885900,0.0,0.0
2005-02-04 00:00:00-05:00,7.197145338087744,7.406401490743732,7.165439732135657,7.308114051818848,3887100,0.0,0.0
2005-02-07 00:00:00-05:00,7.311281769264327,7.339816742815332,7.228847468420746,7.320793628692627,1506800,0.0,0.0
2005-02-08 00:00:00-05:00,7.276407407938476,7.352500482204852,7.270066167232779,7.339818000793457,1413000,0.0,0.0
2005-02-09 00:00:00-05:00,7.355672763114046,7.381037126928889,7.216168459765343,7.308114051818848,1432800,0.0,0.0
2005-02-10 00:00:00-05:00,7.279575996802868,7.32396406830895,7.228847290567814,7.260552883148193,1008000,0.0,0.0
2005-02-11 00:00:00-05:00,7.260553750054711,7.327135562896729,7.2161662779826665,7.3271355628967285,1225600,0.0,0.0
2005-02-14 00:00:00-05:00,7.2542133031762885,7.257383923633033,6.953011616593784,7.149585247039795,3205900,0.0,0.0
2005-02-15 00:00:00-05:00,7.127391862197299,7.130562482811351,7.038616903940017,7.111539363861084,1450500,0.0,0.0
2005-02-16 00:00:00-05:00,7.292260646820068,7.403229951522838,7.235190684130983,7.292260646820068,3135100,0.0,0.0
2005-02-17 00:00:00-05:00,6.991059816218373,7.276409690132746,6.848385483995374,7.013254165649414,3706000,0.0,0.0
2005-02-18 00:00:00-05:00,7.0132523138615745,7.0132523138615745,6.902283014943589,6.921306133270264,1679400,0.0,0.0
2005-02-22 00:00:00-05:00,6.895941801988607,6.899112422511628,6.721561906360669,6.724731922149658,1212000,0.0,0.0
2005-02-23 00:00:00-05:00,6.724732803459908,6.76277964998836,6.629616594239941,6.674004077911377,1567800,0.0,0.0
2005-02-24 00:00:00-05:00,6.658152676255314,6.7596101440883976,6.54084210111443,6.734245777130127,1357800,0.0,0.0
2005-02-25 00:00:00-05:00,6.72156181603476,6.775461154733744,6.693026836445062,6.75326681137085,1256100,0.0,0.0
2005-02-28 00:00:00-05:00,6.718391022619683,6.7722903599312705,6.670832926105695,6.769119739532471,1088100,0.0,0.0
2005-03-01 00:00:00-05:00,6.823019619989457,6.943500181064662,6.784972776909149,6.899112701416016,1102800,0.0,0.0
2005-03-02 00:00:00-05:00,6.864237771945511,6.965695232958277,6.816679662687548,6.902284622192383,1223100,0.0,0.0
2005-03-03 00:00:00-05:00,6.940330651451916,6.940330651451916,6.851555678198962,6.8959431648254395,887700,0.0,0.0
2005-03-04 00:00:00-05:00,6.899113429452732,6.956183397728538,6.88009030827217,6.930819034576416,837000,0.0,0.0
2005-03-07 00:00:00-05:00,6.933989665865659,6.943500924103014,6.880090318495542,6.892772197723389,782400,0.0,0.0
2005-03-08 00:00:00-05:00,6.895941092600965,6.9181348292450044,6.699366873533531,6.715219974517822,1353000,0.0,0.0
2005-03-09 00:00:00-05:00,6.674003203249384,6.759608143168858,6.6676625669373735,6.724731922149658,1114200,0.0,0.0
2005-03-10 00:00:00-05:00,6.746926359673874,6.778631355877102,6.6676626596977275,6.693027019500732,1008300,0.0,0.0
2005-03-11 00:00:00-05:00,6.67083368808439,6.683515566394176,6.578887500218617,6.604251861572266,1476400,0.0,0.0
